Title,Start_Date,Link,End_Date,Query
The FDA Continues to Remind Facilities of the Importance of Following Duodenoscope Reprocessing Instructions,,https://www.fda.gov/medical-devices/safety-communications/fda-continues-remind-facilities-importance-following-duodenoscope-reprocessing-instructions-fda,2019-04-12, REMIND DUODENOSCOPE REPROCESSING
"The FDA Recommends Only Using Cleared or Approved Medical Devices to Help Assess or Diagnose a Head Injury, Including Concussion",,https://www.fda.gov/medical-devices/safety-communications/fda-recommends-only-using-cleared-or-approved-medical-devices-help-assess-or-diagnose-head-injury,2019-04-10, RECOMMENDS DIAGNOSE CONCUSSION
The FDA Warns Against Use of Previously Owned Test Strips or Test Strips Not Authorized for Sale in the United States,,https://www.fda.gov/medical-devices/safety-communications/fda-warns-against-use-previously-owned-test-strips-or-test-strips-not-authorized-sale-united-states,2019-04-08, WARNS STRIPS AUTHORIZED
"Cybersecurity Vulnerabilities Affecting Medtronic Implantable Cardiac Devices, Programmers, and Home Monitors",,https://www.fda.gov/medical-devices/safety-communications/cybersecurity-vulnerabilities-affecting-medtronic-implantable-cardiac-devices-programmers-and-home,2019-03-21,CYBERSECURITY VULNERABILITIES MEDTRONIC IMPLANTABLE
UPDATE    Zoll LifeVest 4000 Wearable Cardioverter Defibrillator   Software Update for Potential Lack of Treatment (Shock) Delivery Due to Device Failure,,https://www.fda.gov/medical-devices/safety-communications/update-zoll-lifevest-4000-wearable-cardioverter-defibrillator-software-update-potential-lack,2019-03-06,ZOLL LIFEVEST CARDIOVERTER DEFIBRILLATOR
Caution When Using Robotically Assisted Surgical Devices in Women's Health including Mastectomy and Other Cancer Related Surgeries,,https://www.fda.gov/medical-devices/safety-communications/caution-when-using-robotically-assisted-surgical-devices-womens-health-including-mastectomy-and,2019-02-28,ROBOTICALLY WOMENS MASTECTOMY SURGERIES
"FDA Warns Thermography Should Not Be Used in Place of Mammography to Detect, Diagnose, or Screen for Breast Cancer",,https://www.fda.gov/medical-devices/safety-communications/fda-warns-thermography-should-not-be-used-place-mammography-detect-diagnose-or-screen-breast-cancer,2019-02-25,WARNS THERMOGRAPHY MAMMOGRAPHY DIAGNOSE
"Intravascular Air in Line and Air Embolism Risks Associated with Infusion Pumps, Fluid Warmers, and Rapid Infusers",,https://www.fda.gov/medical-devices/safety-communications/intravascular-air-line-and-air-embolism-risks-associated-infusion-pumps-fluid-warmers-and-rapid,2019-01-31,INTRAVASCULAR EMBOLISM WARMERS INFUSERS
"FDA Warns Against Use of Teething Necklaces, Bracelets, and Other Jewelry Marketed for Relieving Teething Pain or Providing Sensory Stimulation",,https://www.fda.gov/medical-devices/safety-communications/fda-warns-against-use-teething-necklaces-bracelets-and-other-jewelry-marketed-relieving-teething,2018-12-20,TEETHING NECKLACES BRACELETS RELIEVING
The FDA Provides Interim Results of Duodenoscope Reprocessing Studies Conducted in Real World Settings,,https://www.fda.gov/medical-devices/safety-communications/fda-provides-interim-results-duodenoscope-reprocessing-studies-conducted-real-world-settings-fda,2018-12-10, INTERIM DUODENOSCOPE REPROCESSING
Use Caution with Implanted Pumps for Intrathecal Administration of Medicines for Pain Management,,https://www.fda.gov/medical-devices/safety-communications/use-caution-implanted-pumps-intrathecal-administration-medicines-pain-management-fda-safety,2018-11-14,IMPLANTED PUMPS INTRATHECAL MEDICINES
The FDA Warns Against the use of Many Genetic Tests with Unapproved Claims to Predict Patient Response to Specific Medications,,https://www.fda.gov/medical-devices/safety-communications/fda-warns-against-use-many-genetic-tests-unapproved-claims-predict-patient-response-specific,2018-11-01, WARNS UNAPPROVED MEDICATIONS
UPDATE: Potential Eye Damage from Alcon CyPass Micro Stent Used to Treat Open Angle Glaucoma,,https://www.fda.gov/medical-devices/safety-communications/update-potential-eye-damage-alcon-cypass-micro-stent-used-treat-open-angle-glaucoma-fda-safety,2018-10-24,ALCON CYPASS STENT GLAUCOMA
Increased Risk of Corneal Haze Associated with the Raindrop Near Vision Inlay (Updated 03 05 19),,https://www.fda.gov/medical-devices/safety-communications/increased-risk-corneal-haze-associated-raindrop-near-vision-inlay-fda-safety-communication,2018-10-23,CORNEAL HAZE RAINDROP INLAY
Updated Information To Reduce Potential Cardiac Surgery Infection Risks Associated With the LivaNova 3T Heater Cooler Systems,,https://www.fda.gov/medical-devices/safety-communications/updated-information-reduce-potential-cardiac-surgery-infection-risks-associated-livanova-3t-heater,2018-10-19,CARDIAC LIVANOVA HEATER COOLER
Cybersecurity Updates Affecting Medtronic Implantable Cardiac Device Programmers,,https://www.fda.gov/medical-devices/safety-communications/cybersecurity-updates-affecting-medtronic-implantable-cardiac-device-programmers-fda-safety,2018-10-11,CYBERSECURITY MEDTRONIC IMPLANTABLE PROGRAMMERS
Caution When Using Pen Needles to Inject Medicines,,https://www.fda.gov/medical-devices/safety-communications/caution-when-using-pen-needles-inject-medicines-fda-safety-communication,2018-09-27,CAUTION NEEDLES INJECT MEDICINES
"Mammography Problems at Aims Diagnostic Imaging in Manahawkin, NJ",,https://www.fda.gov/medical-devices/safety-communications/mammography-problems-aims-diagnostic-imaging-manahawkin-nj-fda-safety-communication,2018-09-24,MAMMOGRAPHY DIAGNOSTIC MANAHAWKIN NJ
