,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
0,,"[0.0, 183539.0]","[0.0, 745142.0]","[278.0, 334397.0]","[278.0, 106231.0]","[558.0, 184324.0]","[278.0, 485213.0]","[278.0, 83660.0]","[0.0, 11036.0]","[278.0, 101831.0]","[0.0, 430687.0]","[0.0, 70433.0]","[278.0, 192798.0]","[558, 49551.0]","[0.0, 112319.0]","[0.0, 270669.0]","[0.0, 10728.0]","[558, 147664.0]","[278.0, 308005.0]","[0.0, 209823.0]","[0.0, 1243817.0]","[278.0, 1115988.0]","[1457.0, 3424999.0]","[0.0, 95248.0]","[0.0, 53853.0]","[0.0, 95123.0]","[0.0, 1109764.0]","[0.0, 100739.0]","[0.0, 82153.0]"
1,"[0.0, 183539.0]",,"[43427.0, 870712.0]","[3.0, 503669.0]","[99.0, 275407.0]","[41584.0, 312295.0]","[41587.0, 612901.0]","[50313.0, 202622.0]","[0.0, 180033.0]","[3.0, 271103.0]","[41584.0, 558100.0]","[99, 239331.0]","[41584.0, 320489.0]","[41584, 177522.0]","[0.0, 281316.0]","[61603, 378063.0]","[0.0, 179725.0]","[61603, 255616.0]","[61603.0, 415677.0]","[41584, 337236.0]","[41584.0, 1371230.0]","[20019.0, 1265244.0]","[49455.0, 3545998.0]","[0.0, 264245.0]","[20019.0, 202831.0]","[0.0, 264120.0]","[0.0, 1278761.0]","[0.0, 269736.0]","[0.0, 251150.0]"
2,"[0.0, 745142.0]","[1843.0, 912296.0]",,"[43039.0, 1022236.0]","[120.0, 836989.0]","[128488.0, 786994.0]","[399083.0, 817008.0]","[1563.0, 812975.0]","[0.0, 741636.0]","[293099.0, 539610.0]","[92712.0, 1068575.0]","[50621, 750412.0]","[106718.0, 816958.0]","[0.0, 780709.0]","[84108.0, 758811.0]","[139870.0, 861399.0]","[0.0, 741328.0]","[44380.0, 834442.0]","[151098.0, 887785.0]","[85022.0, 855401.0]","[84108.0, 1890309.0]","[45943.0, 1800923.0]","[6241.0, 4150815.0]","[84108, 741740.0]","[0.0, 784453.0]","[84108, 741615.0]","[84108.0, 1756256.0]","[84108, 747231.0]","[990, 811763.0]"
3,"[242805, 91870.0]","[242530, 261142.0]","[285566, 779709.0]",,"[260344, 166298.0]","[242527, 262488.0]","[285823, 519801.0]","[242805, 161266.0]","[0.0, 331169.0]","[327404, 94838.0]","[242527, 508293.0]","[0.0, 390566.0]","[242805, 270404.0]","[0.0, 370242.0]","[242527, 189925.0]","[0.0, 590802.0]","[242527, 88334.0]","[0.0, 468355.0]","[242805, 385611.0]","[0.0, 529956.0]","[242527, 1321423.0]","[257877, 1178522.0]","[242527, 3504062.0]","[0.0, 415381.0]","[242527, 131459.0]","[0.0, 415256.0]","[242527, 1187370.0]","[0.0, 420872.0]","[0.0, 402286.0]"
4,"[278.0, 106231.0]","[99.0, 275407.0]","[120.0, 836989.0]","[17817.0, 408825.0]",,"[0.0, 276849.0]","[372.0, 577086.0]","[377.0, 175528.0]","[0.0, 103003.0]","[17817.0, 176259.0]","[0.0, 522654.0]","[99, 162301.0]","[372.0, 284671.0]","[0.0, 142076.0]","[0.0, 204286.0]","[99, 362537.0]","[0.0, 102695.0]","[0.0, 240189.0]","[372.0, 399878.0]","[0.0, 301790.0]","[643.0, 1335141.0]","[2837.0, 1205396.0]","[0.0, 3518423.0]","[0.0, 187215.0]","[0.0, 145820.0]","[0.0, 187090.0]","[0.0, 1201731.0]","[0.0, 192706.0]","[0.0, 174120.0]"
5,"[558.0, 184324.0]","[41585.0, 312294.0]","[170073.0, 745409.0]","[0.0, 505015.0]","[0.0, 276849.0]",,"[126236.0, 529595.0]","[0.0, 254278.0]","[0.0, 181376.0]","[0.0, 272449.0]","[127085.0, 473942.0]","[44380, 196393.0]","[126172.0, 237244.0]","[42143, 178306.0]","[84172.0, 198487.0]","[170616, 270393.0]","[0.0, 181068.0]","[86523, 232039.0]","[170552.0, 308071.0]","[125693, 254470.0]","[125693.0, 1288464.0]","[44859.0, 1241747.0]","[543.0, 3596253.0]","[84108, 181480.0]","[0.0, 224193.0]","[84108, 181355.0]","[84108.0, 1195996.0]","[85436, 185643.0]","[0.0, 252493.0]"
6,"[278.0, 485213.0]","[41588.0, 612900.0]","[190609.0, 1025482.0]","[43297.0, 762327.0]","[372.0, 577086.0]","[126236.0, 529595.0]",,"[278.0, 554609.0]","[0.0, 481985.0]","[43527.0, 529531.0]","[125757.0, 775879.0]","[430, 540952.0]","[131341.0, 532684.0]","[41585, 479473.0]","[86419.0, 496849.0]","[138073, 603545.0]","[0.0, 481677.0]","[41585, 577586.0]","[131341.0, 647891.0]","[125693, 555079.0]","[125693.0, 1589073.0]","[757.0, 1586458.0]","[5718.0, 3891687.0]","[84108, 482089.0]","[5164.0, 519638.0]","[84108, 481964.0]","[84108.0, 1496605.0]","[84108, 487580.0]","[0.0, 553102.0]"
7,"[278.0, 83660.0]","[50314.0, 202621.0]","[1563.0, 812975.0]","[278.0, 403793.0]","[377.0, 175528.0]","[0.0, 254278.0]","[278.0, 554609.0]",,"[0.0, 80432.0]","[278.0, 171227.0]","[0.0, 500083.0]","[99, 139730.0]","[467.0, 262005.0]","[0.0, 119505.0]","[0.0, 181715.0]","[929, 339136.0]","[0.0, 80124.0]","[1118, 216500.0]","[1498.0, 376181.0]","[0.0, 279219.0]","[0.0, 1313213.0]","[1841.0, 1183821.0]","[48109.0, 3447743.0]","[0.0, 164644.0]","[0.0, 123249.0]","[0.0, 164519.0]","[6436.0, 1172724.0]","[0.0, 170135.0]","[777, 150772.0]"
8,"[0.0, 11036.0]","[0.0, 180033.0]","[0.0, 741636.0]","[0.0, 331169.0]","[0.0, 103003.0]","[0.0, 181376.0]","[0.0, 481985.0]","[0.0, 80432.0]",,"[0.0, 98603.0]","[0.0, 427181.0]","[0.0, 66927.0]","[0.0, 189570.0]","[0.0, 46603.0]","[0.0, 108813.0]","[0.0, 267163.0]","[0.0, 7222.0]","[0.0, 144716.0]","[0.0, 304777.0]","[0.0, 206317.0]","[0.0, 1240311.0]","[0.0, 1112760.0]","[0.0, 3422950.0]","[0.0, 91742.0]","[0.0, 50347.0]","[0.0, 91617.0]","[0.0, 1106258.0]","[0.0, 97233.0]","[0.0, 78647.0]"
9,"[278.0, 101831.0]","[3.0, 271103.0]","[43040.0, 789669.0]","[84878.0, 337364.0]","[17817.0, 176259.0]","[0.0, 272449.0]","[43527.0, 529531.0]","[278.0, 171227.0]","[0.0, 98603.0]",,"[0.0, 518254.0]","[0.0, 158000.0]","[6460.0, 274183.0]","[0.0, 137676.0]","[841.0, 199045.0]","[6182, 352054.0]","[0.0, 98295.0]","[0.0, 235789.0]","[6460.0, 389390.0]","[0.0, 297390.0]","[0.0, 1331384.0]","[15350.0, 1188483.0]","[0.0, 3514023.0]","[0.0, 182815.0]","[0.0, 141420.0]","[0.0, 182690.0]","[0.0, 1197331.0]","[0.0, 188306.0]","[0.0, 169720.0]"
