contributors,coordinates,created_at,display_text_range,entities,extended_entities,favorite_count,favorited,full_text,geo,id,id_str,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,is_quote_status,lang,place,possibly_sensitive,retweet_count,retweeted,source,truncated,user,permalink,user_mentions,hashtags,author_name,author_followers
,,2018-12-10 21:09:16,"[0, 169]","{'hashtags': [{'text': 'MedicalDevices', 'indices': [149, 164]}, {'text': 'FDA', 'indices': [165, 169]}], 'symbols': [], 'user_mentions': [{'screen_name': 'US_FDA', 'name': 'U.S. FDA', 'id': 208120290, 'id_str': '208120290', 'indices': [1, 8]}], 'urls': [{'url': 'https://t.co/1PNRNv7Nnq', 'expanded_url': 'https://go.usa.gov/xPShA', 'display_url': 'go.usa.gov/xPShA', 'indices': [125, 148]}], 'media': [{'id': 1072228240008323072, 'id_str': '1072228240008323072', 'indices': [170, 193], 'media_url': 'http://pbs.twimg.com/tweet_video_thumb/DuFR50PWoAAC3HQ.jpg', 'media_url_https': 'https://pbs.twimg.com/tweet_video_thumb/DuFR50PWoAAC3HQ.jpg', 'url': 'https://t.co/W9CGXwCAug', 'display_url': 'pic.twitter.com/W9CGXwCAug', 'expanded_url': 'https://twitter.com/FDAcdrhIndustry/status/1072236833092890624/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 960, 'h': 720, 'resize': 'fit'}, 'large': {'w': 960, 'h': 720, 'resize': 'fit'}, 'small': {'w': 680, 'h': 510, 'resize': 'fit'}}}]}","{'media': [{'id': 1072228240008323072, 'id_str': '1072228240008323072', 'indices': [170, 193], 'media_url': 'http://pbs.twimg.com/tweet_video_thumb/DuFR50PWoAAC3HQ.jpg', 'media_url_https': 'https://pbs.twimg.com/tweet_video_thumb/DuFR50PWoAAC3HQ.jpg', 'url': 'https://t.co/W9CGXwCAug', 'display_url': 'pic.twitter.com/W9CGXwCAug', 'expanded_url': 'https://twitter.com/FDAcdrhIndustry/status/1072236833092890624/photo/1', 'type': 'animated_gif', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 960, 'h': 720, 'resize': 'fit'}, 'large': {'w': 960, 'h': 720, 'resize': 'fit'}, 'small': {'w': 680, 'h': 510, 'resize': 'fit'}}, 'video_info': {'aspect_ratio': [4, 3], 'variants': [{'bitrate': 0, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/tweet_video/DuFR50PWoAAC3HQ.mp4'}]}}]}",1,False,.@US_FDA is providing interim results of the effectiveness of duodenoscope reprocessing instructions. Read the results here: https://t.co/1PNRNv7Nnq #MedicalDevices #FDA https://t.co/W9CGXwCAug,,1072236833092890624,1072236833092890624,,,,,,False,en,,False,0,False,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",False,"{'id': 66367559, 'id_str': '66367559', 'name': 'FDA/CDRH Industry', 'screen_name': 'FDAcdrhIndustry', 'location': 'Silver Spring, MD', 'description': 'This is the archived account of @FDACDRHIndustry. Follow us at @FDADeviceInfo for the latest on medical device & radiation-emitting products info from the FDA.', 'url': 'http://t.co/IlOtR68BnU', 'entities': {'url': {'urls': [{'url': 'http://t.co/IlOtR68BnU', 'expanded_url': 'http://www.fda.gov/MedicalDevices/NewsEvents/ucm177150.htm', 'display_url': 'fda.gov/MedicalDevices…', 'indices': [0, 22]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 41618, 'friends_count': 200, 'listed_count': 818, 'created_at': 'Mon Aug 17 14:35:56 +0000 2009', 'favourites_count': 151, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': True, 'statuses_count': 3458, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '4660A6', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/773215176866824192/Pg2FG-Fs_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/773215176866824192/Pg2FG-Fs_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/66367559/1556035592', 'profile_link_color': '0000FF', 'profile_sidebar_border_color': 'FFFFFF', 'profile_sidebar_fill_color': 'C9D2EE', 'profile_text_color': '333333', 'profile_use_background_image': False, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",https://twitter.com/FDAcdrhIndustry/status/1072236833092890624,['US_FDA'],"['MedicalDevices', 'FDA']",FDAcdrhIndustry,41618
,,2017-02-07 00:18:07,"[0, 125]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,0,False,ED-3490TK Video Duodenoscope by Pentax: FDA Safety Communication - UPDATE - Follow Pentax Validated Reprocessing Instructions,,828759709914120192,828759709914120192,,,,,,False,en,,,0,False,"<a href=""http://www.linkedin.com/"" rel=""nofollow"">LinkedIn</a>",False,"{'id': 30935361, 'id_str': '30935361', 'name': 'esg división médic@', 'screen_name': 'esgdm', 'location': 'Mexico City', 'description': '#todoparasuhospital 24x365 worldwide service! asesor en @vinoskosher marketing en @diariojudio', 'url': 'http://t.co/V77FEC2qjQ', 'entities': {'url': {'urls': [{'url': 'http://t.co/V77FEC2qjQ', 'expanded_url': 'http://esgdm.wordpress.com', 'display_url': 'esgdm.wordpress.com', 'indices': [0, 22]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 959, 'friends_count': 2185, 'listed_count': 13, 'created_at': 'Mon Apr 13 19:21:18 +0000 2009', 'favourites_count': 19, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': False, 'statuses_count': 33699, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '352726', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme5/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme5/bg.gif', 'profile_background_tile': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1333538960/esg_logo_normal.png', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1333538960/esg_logo_normal.png', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/30935361/1459715810', 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'FFFFFF', 'profile_sidebar_fill_color': '99CC33', 'profile_text_color': '3E4415', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",https://twitter.com/esgdm/status/828759709914120192,[],[],esgdm,959
,,2017-01-17 18:34:12,"[0, 139]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/uVSiG7Wftj', 'expanded_url': 'http://ow.ly/bheq3085O68', 'display_url': 'ow.ly/bheq3085O68', 'indices': [116, 139]}]}",,0,False,ED-3490TK Video Duodenoscope: FDA Safety Communication - UPDATE - Follow Pentax Validated Reprocessing Instructions https://t.co/uVSiG7Wftj,,821425403143356416,821425403143356416,,,,,,False,en,,False,0,False,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",False,"{'id': 127622927, 'id_str': '127622927', 'name': 'Healthmark News', 'screen_name': 'HmarkNews', 'location': 'Fraser, MI', 'description': '', 'url': 'http://t.co/E3LUO3Zmy8', 'entities': {'url': {'urls': [{'url': 'http://t.co/E3LUO3Zmy8', 'expanded_url': 'http://www.hmark.com', 'display_url': 'hmark.com', 'indices': [0, 22]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 190, 'friends_count': 344, 'listed_count': 11, 'created_at': 'Mon Mar 29 19:39:30 +0000 2010', 'favourites_count': 0, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 2871, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/828500801/HMKLogoSquareGrey_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/828500801/HMKLogoSquareGrey_normal.jpg', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",https://twitter.com/HmarkNews/status/821425403143356416,[],[],HmarkNews,190
,,2017-01-17 15:20:37,"[0, 136]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/BbFRWqaNkk', 'expanded_url': 'http://go.usa.gov/x9mTP', 'display_url': 'go.usa.gov/x9mTP', 'indices': [113, 136]}]}",,1,False,ED-3490TK Video Duodenoscope by Pentax: Safety Communication UPDATE - Follow Validated Reprocessing Instructions https://t.co/BbFRWqaNkk,,821376686533001216,821376686533001216,,,,,,False,en,,False,2,False,"<a href=""https://govdelivery.com"" rel=""nofollow"">GovDelivery</a>",False,"{'id': 205847300, 'id_str': '205847300', 'name': 'US FDA MedWatch', 'screen_name': 'FDAMedWatch', 'location': 'Silver Spring, MD', 'description': 'Clinically important safety information on human medical products from FDA.\r\nComments: MedWatchComments@fda.hhs.gov \r\nPrivacy: http://t.co/NmfWRPgiHZ', 'url': 'http://t.co/AlnNadb9NB', 'entities': {'url': {'urls': [{'url': 'http://t.co/AlnNadb9NB', 'expanded_url': 'http://www.fda.gov/medwatch', 'display_url': 'fda.gov/medwatch', 'indices': [0, 22]}]}, 'description': {'urls': [{'url': 'http://t.co/NmfWRPgiHZ', 'expanded_url': 'http://www.fda.gov/privacy', 'display_url': 'fda.gov/privacy', 'indices': [127, 149]}]}}, 'protected': False, 'followers_count': 44463, 'friends_count': 28, 'listed_count': 797, 'created_at': 'Thu Oct 21 18:46:35 +0000 2010', 'favourites_count': 8, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': True, 'statuses_count': 1343, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '32679C', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme15/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme15/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/773555281762672641/BzMXbehC_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/773555281762672641/BzMXbehC_normal.jpg', 'profile_link_color': '0084B4', 'profile_sidebar_border_color': 'A8C7F7', 'profile_sidebar_fill_color': 'C0DFEC', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",https://twitter.com/FDAMedWatch/status/821376686533001216,[],[],FDAMedWatch,44463
,,2017-01-17 15:16:39,"[0, 127]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,0,False,ED-3490TK Video Duodenoscope by Pentax: FDA Safety Communication - UPDATE - Follow Pentax Validated Reprocessing Instructions …,,821375687865016321,821375687865016321,,,,,,False,en,,,0,False,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",False,"{'id': 131860752, 'id_str': '131860752', 'name': 'Gizem Usta', 'screen_name': 'gizemusta', 'location': '', 'description': 'AtaTurkiye\nBorn to be a Pharmacist❣/Pharmacovigilance\nUltrAslan❤ #hayir', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 606, 'friends_count': 760, 'listed_count': 16, 'created_at': 'Sun Apr 11 15:21:09 +0000 2010', 'favourites_count': 1515, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': False, 'statuses_count': 29789, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/741978393026121728/lEF_Cnko_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/741978393026121728/lEF_Cnko_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/131860752/1471878919', 'profile_link_color': 'F5190A', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '870FFF', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",https://twitter.com/gizemusta/status/821375687865016321,[],[],gizemusta,606
,,2017-01-17 15:14:18,"[0, 127]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,0,False,ED-3490TK Video Duodenoscope by Pentax: FDA Safety Communication - UPDATE - Follow Pentax Validated Reprocessing Instructions …,,821375096422039552,821375096422039552,,,,,,False,en,,,0,False,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",False,"{'id': 761654011103703040, 'id_str': '761654011103703040', 'name': 'PharmaSoft', 'screen_name': 'PharmaSoft_TR', 'location': 'Istanbul, Turkey', 'description': 'PharmaSoft is a consulting firm that combines professional software solutions with specialized expertise in drug safety, regulatory afffairs and compliance.', 'url': 'https://t.co/bx8fsO2a5N', 'entities': {'url': {'urls': [{'url': 'https://t.co/bx8fsO2a5N', 'expanded_url': 'http://www.pharmasoft.com.tr', 'display_url': 'pharmasoft.com.tr', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 68, 'friends_count': 199, 'listed_count': 8, 'created_at': 'Fri Aug 05 20:04:01 +0000 2016', 'favourites_count': 323, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 4484, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/761656958709600256/DFt2SmPa_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/761656958709600256/DFt2SmPa_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/761654011103703040/1470482869', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",https://twitter.com/PharmaSoft_TR/status/821375096422039552,[],[],PharmaSoft_TR,68
,,2016-04-12 02:04:17,"[0, 137]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/Z3tnwWBkYo', 'expanded_url': 'http://fb.me/5DWqZZP8a', 'display_url': 'fb.me/5DWqZZP8a', 'indices': [114, 137]}]}",,0,False,Olympus Validates Updated Reprocessing Instructions for Duodenoscope Models TJF-160F and TJF-160VF: FDA Safety... https://t.co/Z3tnwWBkYo,,719707683771654145,719707683771654145,,,,,,False,en,,False,0,False,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>",False,"{'id': 1033200504, 'id_str': '1033200504', 'name': 'bmet4life', 'screen_name': 'HTM_Community', 'location': '', 'description': 'The Healthcare Technology Management Community is for professionals in clinical engineering, biomedical engineering or equipment, and medical equipment.', 'url': 'http://t.co/jeg03OmA', 'entities': {'url': {'urls': [{'url': 'http://t.co/jeg03OmA', 'expanded_url': 'http://www.bmet4life.org', 'display_url': 'bmet4life.org', 'indices': [0, 20]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 802, 'friends_count': 1399, 'listed_count': 26, 'created_at': 'Mon Dec 24 18:22:09 +0000 2012', 'favourites_count': 0, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 8408, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/3015808545/239ad7eb6b627fa473b2a2d5196887e7_normal.jpeg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/3015808545/239ad7eb6b627fa473b2a2d5196887e7_normal.jpeg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1033200504/1356373844', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",https://twitter.com/HTM_Community/status/719707683771654145,[],[],HTM_Community,802
,,2016-04-12 02:04:09,"[0, 137]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/t2KYFtNs2V', 'expanded_url': 'http://fb.me/V4oeRqnd', 'display_url': 'fb.me/V4oeRqnd', 'indices': [114, 137]}]}",,0,False,Olympus Validates Updated Reprocessing Instructions for Duodenoscope Models TJF-160F and TJF-160VF: FDA Safety... https://t.co/t2KYFtNs2V,,719707649164603392,719707649164603392,,,,,,False,en,,False,0,False,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>",False,"{'id': 1033200504, 'id_str': '1033200504', 'name': 'bmet4life', 'screen_name': 'HTM_Community', 'location': '', 'description': 'The Healthcare Technology Management Community is for professionals in clinical engineering, biomedical engineering or equipment, and medical equipment.', 'url': 'http://t.co/jeg03OmA', 'entities': {'url': {'urls': [{'url': 'http://t.co/jeg03OmA', 'expanded_url': 'http://www.bmet4life.org', 'display_url': 'bmet4life.org', 'indices': [0, 20]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 802, 'friends_count': 1399, 'listed_count': 26, 'created_at': 'Mon Dec 24 18:22:09 +0000 2012', 'favourites_count': 0, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 8408, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/3015808545/239ad7eb6b627fa473b2a2d5196887e7_normal.jpeg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/3015808545/239ad7eb6b627fa473b2a2d5196887e7_normal.jpeg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1033200504/1356373844', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",https://twitter.com/HTM_Community/status/719707649164603392,[],[],HTM_Community,802
,,2016-03-17 18:45:23,"[0, 128]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/Hw8VHibsUl', 'expanded_url': 'http://ow.ly/ZC4jS', 'display_url': 'ow.ly/ZC4jS', 'indices': [105, 128]}]}",,1,False,FDA: Reprocessing instructions validated for Olympus duodenoscope models TJF-160F and TJF-160VF &gt;&gt; https://t.co/Hw8VHibsUl,,710537531666862081,710537531666862081,,,,,,False,en,,False,0,False,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",False,"{'id': 2528071112, 'id_str': '2528071112', 'name': 'OR Manager', 'screen_name': 'OR_Manager', 'location': 'Rockville, MD', 'description': 'Official twitter account for OR Manager, the #1 information source for OR managers, directors & registered nurses in the surgical suite and operating room.', 'url': 'http://t.co/OZ7txiH4CM', 'entities': {'url': {'urls': [{'url': 'http://t.co/OZ7txiH4CM', 'expanded_url': 'http://www.ormanager.com', 'display_url': 'ormanager.com', 'indices': [0, 22]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 641, 'friends_count': 564, 'listed_count': 14, 'created_at': 'Tue May 27 19:02:41 +0000 2014', 'favourites_count': 15, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 5756, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '89C9FA', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme15/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme15/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/613348016309714944/kpHqzJgB_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/613348016309714944/kpHqzJgB_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/2528071112/1467915365', 'profile_link_color': '0084B4', 'profile_sidebar_border_color': 'FFFFFF', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",https://twitter.com/OR_Manager/status/710537531666862081,[],[],OR_Manager,641
,,2016-03-17 12:05:27,"[0, 137]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/na3cxrcn4d', 'expanded_url': 'http://ow.ly/ZxDd2', 'display_url': 'ow.ly/ZxDd2', 'indices': [114, 137]}]}",,0,False,"Duodenoscope Models TJF-160F and TJF-160VF by Olympus: Safety Communication - Reprocessing Instructions Validated
https://t.co/na3cxrcn4d",,710436885139759104,710436885139759104,,,,,,False,en,,False,0,False,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",False,"{'id': 16686348, 'id_str': '16686348', 'name': 'Alison Liddic', 'screen_name': 'aliddic', 'location': 'Cincinnati, OH', 'description': 'Is your hospital using data to prevent future financial loss? 👉Message Me to go beyond recovery & gain Spend Visibility', 'url': 'https://t.co/EFFdvhSAYu', 'entities': {'url': {'urls': [{'url': 'https://t.co/EFFdvhSAYu', 'expanded_url': 'http://www.spendmend.com', 'display_url': 'spendmend.com', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 314, 'friends_count': 710, 'listed_count': 7, 'created_at': 'Fri Oct 10 17:46:44 +0000 2008', 'favourites_count': 208, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': False, 'statuses_count': 2382, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '000000', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme10/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme10/bg.gif', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1083798600990289920/o5OeXA1o_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1083798600990289920/o5OeXA1o_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/16686348/1547232653', 'profile_link_color': '89C9FA', 'profile_sidebar_border_color': '000000', 'profile_sidebar_fill_color': '000000', 'profile_text_color': '000000', 'profile_use_background_image': False, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",https://twitter.com/aliddic/status/710436885139759104,[],[],aliddic,314
