,Title,Keywords,Start_Date,End_Date
0,Evaluation Of The Behavioral Health Integration And Complex Care Initiative In Medi-Cal,EVALUATION BEHAVIORAL INTEGRATION COMPLEX INITIATIVE MEDI CAL,9/2/2018,
1,Behavioral Health Information Technology: From Chaos To Clarity,BEHAVIORAL HEALTH INFORMATION TECHNOLOGY FROM CHAOS CLARITY,6/2/2016,
2,Removing Obstacles To Eliminating Racial And Ethnic Disparities In Behavioral Health Care,REMOVING OBSTACLES ELIMINATING DISPARITIES BEHAVIORAL HEALTH CARE,6/2/2016,
3,Controlled Substance Lock-In Programs: Examining An Unintended Consequence Of A Prescription Drug Abuse Policy,CONTROLLED SUBSTANCE LOCK EXAMINING CONSEQUENCE PRESCRIPTION ABUSE,10/2/2016,
4,The Looming Expansion And Transformation Of Public Substance Abuse Treatment Under The Affordable Care Act,LOOMING EXPANSION TRANSFORMATION SUBSTANCE ABUSE TREATMENT AFFORDABLE,8/2/2011,
5,The Urgency Of Providing Comprehensive And Integrated Treatment For Substance Abusers With HIV,URGENCY PROVIDING TREATMENT SUBSTANCE ABUSERS HIV,8/2/2011,
6,Medication Treatment For Opioid Use Disorders In Substance Use Treatment Facilities,MEDICATION TREATMENT OPIOID DISORDERS SUBSTANCE TREATMENT FACILITIES,1/2/2019,
7,How Is Telemedicine Being Used In Opioid And Other Substance Use Disorder Treatment?,TELEMEDICINE USED OPIOID SUBSTANCE USE DISORDER TREATMENT,12/2/2018,
8,Impact Of Medicaid Expansion On Coverage And Treatment Of Low-Income Adults With Substance Use Disorders,IMPACT MEDICAID EXPANSION COVERAGE ADULTS SUBSTANCE DISORDERS,8/2/2018,
9,Survey Highlights Differences In Medicaid Coverage For Substance Use Treatment And Opioid Use Disorder Medications,HIGHLIGHTS MEDICAID COVERAGE SUBSTANCE OPIOID DISORDER MEDICATIONS,12/2/2016,
10,Federal Parity Law Associated With Increased Probability Of Using Out-Of-Network Substance Use Disorder Treatment Services,PARITY ASSOCIATED INCREASED PROBABILITY SUBSTANCE DISORDER TREATMENT,8/2/2015,
11,A Promising Approach For Emergency Departments To Care For Patients With Substance Use And Behavioral Disorders,APPROACH EMERGENCY DEPARTMENTS PATIENTS SUBSTANCE BEHAVIORAL DISORDERS,12/2/2013,
12,News Media Reporting On Medication Treatment For Opioid Use Disorder Amid The Opioid Epidemic,REPORTING MEDICATION TREATMENT OPIOID DISORDER OPIOID EPIDEMIC,4/2/2019,
13,Medication Treatment For Opioid Use Disorders In Substance Use Treatment Facilities,MEDICATION TREATMENT OPIOID DISORDERS SUBSTANCE TREATMENT FACILITIES,1/2/2019,
