,IMPAQ Category,Keyword,Title,Authors,Publication Date,Type,Tag,Link
0,BEHAVIORAL HEALTH,behavioral health,Racial And Ethnic Differences In The Attainment Of Behavioral Health Quality Measures In Medicare Advantage Plans,"Joshua Breslau, Marc N. Elliott, Amelia M. Haviland, David J. Klein, Jacob W. Dembosky, John L. Adams, Sarah J. Gaillot, Marcela Horvitz-Lennon, and Eric C. Schneider",October-2018,RESEARCH ARTICLE,HEALTH EQUITY,https://www.healthaffairs.org/doi/10.1377/hlthaff.2018.0655
1,BEHAVIORAL HEALTH,behavioral health,Evaluation Of The Behavioral Health Integration And Complex Care Initiative In Medi-Cal,"Todd P. Gilmer, Marc Avery, Elizabeth Siantz, Benjamin F. Henwood, Kimberly Center, Elise Pomerance, and Jennifer Sayles",September-2018,RESEARCH ARTICLE,BEHAVIORAL HEALTH CARE,https://www.healthaffairs.org/doi/10.1377/hlthaff.2018.0372
2,BEHAVIORAL HEALTH,behavioral health,Behavioral Health Coverage In The Individual Market Increased After ACA Parity Requirements,"Alexander J. Cowell, Shivaani Prakash, Emily Jones, Alan Barnosky, and Brendan Wedehase",July-2018,RESEARCH ARTICLE,BEHAVIORAL HEALTH CARE,https://www.healthaffairs.org/doi/10.1377/hlthaff.2017.1517
3,BEHAVIORAL HEALTH,behavioral health,A Payer-Guided Approach To Widespread Diffusion Of Behavioral Health Homes In Real-World Settings,"James Schuster, Cara Nikolajski, Jane Kogan, Chaeryon Kang, Patricia Schake, Tracy Carney, Sally C. Morton, and Charles F. Reynolds",February-2018,RESEARCH ARTICLE,DIFFUSION OF INNOVATION,https://www.healthaffairs.org/doi/10.1377/hlthaff.2017.1115
4,BEHAVIORAL HEALTH,behavioral health,Prevalence And Spending Associated With Patients Who Have A Behavioral Health Disorder And Other Conditions,"Ken Thorpe, Sanjula Jain, and Peter Joski",January-2017,RESEARCH ARTICLE,,https://www.healthaffairs.org/doi/10.1377/hlthaff.2016.0875
5,BEHAVIORAL HEALTH,behavioral health,The Impact Of Medicare ACOs On Improving Integration And Coordination Of Physical And Behavioral Health Care,"Catherine A. Fullerton, Rachel M. Henke, Erica L. Crable, Andriana Hohlbauch, and Nicholas Cummings",July-2016,RESEARCH ARTICLE,,https://www.healthaffairs.org/doi/10.1377/hlthaff.2016.0019
6,BEHAVIORAL HEALTH,behavioral health,Behavioral Health Information Technology: From Chaos To Clarity,"Piper A. Ranallo, Amy M. Kilbourne, Angela S. Whatley, and Harold Alan Pincus",June-2016,ANALYSIS & COMMENTARY,,https://www.healthaffairs.org/doi/10.1377/hlthaff.2016.0013
7,BEHAVIORAL HEALTH,behavioral health,Removing Obstacles To Eliminating Racial And Ethnic Disparities In Behavioral Health Care,"Margarita Alegría, Kiara Alvarez, Rachel Zack Ishikawa, Karissa DiMarzio, and Samantha McPeck",June-2016,RESEARCH ARTICLE,,https://www.healthaffairs.org/doi/10.1377/hlthaff.2016.0029
8,BEHAVIORAL HEALTH,substance abuse,Controlled Substance Lock-In Programs: Examining An Unintended Consequence Of A Prescription Drug Abuse Policy,"Andrew W. Roberts, Joel F. Farley, G. Mark Holmes, Christine U. Oramasionwu, Chris Ringwalt, Betsy Sleath, and Asheley C. Skinner",October-2016,RESEARCH ARTICLE,,https://www.healthaffairs.org/doi/10.1377/hlthaff.2016.0355
9,BEHAVIORAL HEALTH,substance abuse,Few ACOs Pursue Innovative Models That Integrate Care For Mental Illness And Substance Abuse With Primary Care,"Valerie A. Lewis, Carrie H. Colla, Katherine Tierney, Arica D. Van Citters, Elliott S. Fisher, and Ellen Meara",October-2014,RESEARCH ARTICLE,,https://www.healthaffairs.org/doi/10.1377/hlthaff.2014.0353
