contributors,coordinates,created_at,display_text_range,entities,favorite_count,favorited,full_text,geo,id,id_str,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,is_quote_status,lang,place,possibly_sensitive,retweet_count,retweeted,source,truncated,user,permalink,user_mentions,hashtags,author_name,author_followers
,,2018-08-22 20:45:15,"[0, 135]","{'hashtags': [{'text': 'bigdata', 'indices': [75, 83]}, {'text': 'informatics', 'indices': [84, 96]}, {'text': 'EHR', 'indices': [97, 101]}, {'text': 'healthIT', 'indices': [102, 111]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/axCUjZl44L', 'expanded_url': 'http://ow.ly/p6GQ30ltL31', 'display_url': 'ow.ly/p6GQ30ltL31', 'indices': [112, 135]}]}",1,False,"Using Big Data Analytics for Patient Safety, Hospital Acquired Conditions. #bigdata #informatics #EHR #healthIT https://t.co/axCUjZl44L",,1032368121728778243,1032368121728778243,,,,,,False,en,,False,0,False,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",False,"{'id': 175148528, 'id_str': '175148528', 'name': 'SBMI', 'screen_name': 'UTHealth_SBMI', 'location': 'The Texas Medical Center', 'description': 'Educating leaders in health informatics since 1997.\r\nLocated in the Texas Medical Center at Houston, TX.', 'url': 'https://t.co/27CgStWx02', 'entities': {'url': {'urls': [{'url': 'https://t.co/27CgStWx02', 'expanded_url': 'https://sbmi.uth.edu/applynow/', 'display_url': 'sbmi.uth.edu/applynow/', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 1768, 'friends_count': 708, 'listed_count': 532, 'created_at': 'Thu Aug 05 19:24:40 +0000 2010', 'favourites_count': 2127, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': False, 'statuses_count': 20871, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'BD4F19', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme14/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme14/bg.gif', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1052586305480155136/gPeC83x5_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1052586305480155136/gPeC83x5_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/175148528/1545415166', 'profile_link_color': '44697D', 'profile_sidebar_border_color': 'FFFFFF', 'profile_sidebar_fill_color': 'A6BCC6', 'profile_text_color': '000000', 'profile_use_background_image': False, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",https://twitter.com/UTHealth_SBMI/status/1032368121728778243,[],"['bigdata', 'healthIT', 'informatics', 'EHR']",UTHealth_SBMI,1768
,,2018-08-06 20:50:05,"[0, 211]","{'hashtags': [{'text': 'HealthData', 'indices': [144, 155]}, {'text': 'PopulationHealth', 'indices': [156, 173]}, {'text': 'EHR', 'indices': [174, 178]}, {'text': 'BigData', 'indices': [179, 187]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/5aLXx07Ykk', 'expanded_url': 'http://ow.ly/x7Ab30lhOJI', 'display_url': 'ow.ly/x7Ab30lhOJI', 'indices': [188, 211]}]}",0,False,Big data analytics can provide valuable insight into avoiding patient safety events and reducing the incidence of hospital acquired conditions. #HealthData #PopulationHealth #EHR #BigData https://t.co/5aLXx07Ykk,,1026571134614089734,1026571134614089734,,,,,,False,en,,False,0,False,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",False,"{'id': 175148528, 'id_str': '175148528', 'name': 'SBMI', 'screen_name': 'UTHealth_SBMI', 'location': 'The Texas Medical Center', 'description': 'Educating leaders in health informatics since 1997.\r\nLocated in the Texas Medical Center at Houston, TX.', 'url': 'https://t.co/27CgStWx02', 'entities': {'url': {'urls': [{'url': 'https://t.co/27CgStWx02', 'expanded_url': 'https://sbmi.uth.edu/applynow/', 'display_url': 'sbmi.uth.edu/applynow/', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 1768, 'friends_count': 708, 'listed_count': 532, 'created_at': 'Thu Aug 05 19:24:40 +0000 2010', 'favourites_count': 2127, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': False, 'statuses_count': 20871, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'BD4F19', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme14/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme14/bg.gif', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1052586305480155136/gPeC83x5_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1052586305480155136/gPeC83x5_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/175148528/1545415166', 'profile_link_color': '44697D', 'profile_sidebar_border_color': 'FFFFFF', 'profile_sidebar_fill_color': 'A6BCC6', 'profile_text_color': '000000', 'profile_use_background_image': False, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",https://twitter.com/UTHealth_SBMI/status/1026571134614089734,[],"['BigData', 'PopulationHealth', 'EHR', 'HealthData']",UTHealth_SBMI,1768
,,2018-08-06 17:22:00,"[0, 141]","{'hashtags': [{'text': 'BigData', 'indices': [6, 14]}, {'text': 'Analytics', 'indices': [15, 25]}, {'text': 'machinelearning', 'indices': [99, 115]}, {'text': 'PredictiveAnalytics', 'indices': [116, 136]}, {'text': 'EHR', 'indices': [137, 141]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/nwV40Zt1pZ', 'expanded_url': 'https://buff.ly/2LTfhDD', 'display_url': 'buff.ly/2LTfhDD', 'indices': [75, 98]}]}",0,False,"Using #BigData #Analytics for Patient Safety, Hospital Acquired Conditions https://t.co/nwV40Zt1pZ #machinelearning #PredictiveAnalytics #EHR",,1026518766845345793,1026518766845345793,,,,,,False,en,,False,1,False,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",False,"{'id': 801447657294200832, 'id_str': '801447657294200832', 'name': 'Scalable Health', 'screen_name': 'ScalableHealth', 'location': 'Piscataway, New Jersey, United States', 'description': 'Scalable Health provides innovative data analytics & digital health solutions enabling Payer, Provider and Pharma companies to optimize value-based care.', 'url': 'https://t.co/p4iKucqFwj', 'entities': {'url': {'urls': [{'url': 'https://t.co/p4iKucqFwj', 'expanded_url': 'https://www.scalablehealth.com', 'display_url': 'scalablehealth.com', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 3047, 'friends_count': 3559, 'listed_count': 59, 'created_at': 'Wed Nov 23 15:29:46 +0000 2016', 'favourites_count': 4827, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 3310, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '000000', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/836940818350907392/3G6Gekav_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/836940818350907392/3G6Gekav_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/801447657294200832/1521204236', 'profile_link_color': 'E81C4F', 'profile_sidebar_border_color': '000000', 'profile_sidebar_fill_color': '000000', 'profile_text_color': '000000', 'profile_use_background_image': False, 'has_extended_profile': True, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",https://twitter.com/ScalableHealth/status/1026518766845345793,[],"['PredictiveAnalytics', 'EHR', 'machinelearning', 'Analytics', 'BigData']",ScalableHealth,3047
,,2018-08-06 15:17:39,"[0, 205]","{'hashtags': [{'text': 'BigData', 'indices': [6, 14]}, {'text': 'Patient', 'indices': [29, 37]}, {'text': 'Hospital', 'indices': [46, 55]}, {'text': 'DataAnalytics', 'indices': [78, 92]}, {'text': 'HealthTech', 'indices': [93, 104]}, {'text': 'HealthIT', 'indices': [105, 114]}, {'text': 'EHR', 'indices': [115, 119]}, {'text': 'eHealth', 'indices': [120, 128]}, {'text': 'Medications', 'indices': [129, 141]}, {'text': 'Infections', 'indices': [142, 153]}, {'text': 'Healthcare', 'indices': [154, 165]}], 'symbols': [], 'user_mentions': [{'screen_name': 'HITAnalytics', 'name': 'HealthITAnalytics', 'id': 1641795866, 'id_str': '1641795866', 'indices': [168, 181]}], 'urls': [{'url': 'https://t.co/teJvdq2Oe9', 'expanded_url': 'https://healthitanalytics.com/features/using-big-data-analytics-for-patient-safety-hospital-acquired-conditions', 'display_url': 'healthitanalytics.com/features/using…', 'indices': [182, 205]}]}",0,False,"Using #BigData Analytics for #Patient Safety, #Hospital Acquired Conditions | #DataAnalytics #HealthTech #HealthIT #EHR #eHealth #Medications #Infections #Healthcare - @HITAnalytics https://t.co/teJvdq2Oe9",,1026487471243026432,1026487471243026432,,,,,,False,en,,False,2,False,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,"{'id': 38814672, 'id_str': '38814672', 'name': 'MedAppsAB', 'screen_name': 'MedAppsAB', 'location': '', 'description': '@MedAppsAB provides #Health #Apps to revolutionize #Healthcare. Developed by a #Transplant #Surgeon, Angeles Baquerizo, MD, PhD (Founder & CEO) - #DigitalHealth', 'url': 'https://t.co/F6Arn0n5yO', 'entities': {'url': {'urls': [{'url': 'https://t.co/F6Arn0n5yO', 'expanded_url': 'http://www.medappsab.com', 'display_url': 'medappsab.com', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 1258, 'friends_count': 4797, 'listed_count': 78, 'created_at': 'Sat May 09 06:58:20 +0000 2009', 'favourites_count': 1554, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 4369, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '000000', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1015544849154564096/5zAS79xr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1015544849154564096/5zAS79xr_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/38814672/1480650131', 'profile_link_color': '19CF86', 'profile_sidebar_border_color': '000000', 'profile_sidebar_fill_color': '000000', 'profile_text_color': '000000', 'profile_use_background_image': False, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",https://twitter.com/MedAppsAB/status/1026487471243026432,['HITAnalytics'],"['EHR', 'Patient', 'Healthcare', 'Infections', 'DataAnalytics', 'eHealth', 'Hospital', 'HealthIT', 'Medications', 'BigData', 'HealthTech']",MedAppsAB,1258
,,2018-07-19 15:05:14,"[0, 239]","{'hashtags': [{'text': 'HIE', 'indices': [206, 210]}, {'text': 'EHR', 'indices': [211, 215]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/bh32CxnIKu', 'expanded_url': 'http://ow.ly/ephL30l04wF', 'display_url': 'ow.ly/ephL30l04wF', 'indices': [216, 239]}]}",0,False,"Health Catalyst launches new hospital safety surveillance analytics. The patient safety software can help detect early risk of of potential harm to patients while they're in the hospital, said the company. #HIE #EHR https://t.co/bh32CxnIKu",,1019961368470990848,1019961368470990848,,,,,,False,en,,False,0,False,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",False,"{'id': 175148528, 'id_str': '175148528', 'name': 'SBMI', 'screen_name': 'UTHealth_SBMI', 'location': 'The Texas Medical Center', 'description': 'Educating leaders in health informatics since 1997.\r\nLocated in the Texas Medical Center at Houston, TX.', 'url': 'https://t.co/27CgStWx02', 'entities': {'url': {'urls': [{'url': 'https://t.co/27CgStWx02', 'expanded_url': 'https://sbmi.uth.edu/applynow/', 'display_url': 'sbmi.uth.edu/applynow/', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 1768, 'friends_count': 708, 'listed_count': 532, 'created_at': 'Thu Aug 05 19:24:40 +0000 2010', 'favourites_count': 2127, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': False, 'statuses_count': 20871, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'BD4F19', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme14/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme14/bg.gif', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1052586305480155136/gPeC83x5_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1052586305480155136/gPeC83x5_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/175148528/1545415166', 'profile_link_color': '44697D', 'profile_sidebar_border_color': 'FFFFFF', 'profile_sidebar_fill_color': 'A6BCC6', 'profile_text_color': '000000', 'profile_use_background_image': False, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",https://twitter.com/UTHealth_SBMI/status/1019961368470990848,[],"['HIE', 'EHR']",UTHealth_SBMI,1768
,,2018-07-11 13:09:03,"[0, 114]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/74EBIpilFy', 'expanded_url': 'http://dlvr.it/QbBqTP', 'display_url': 'dlvr.it/QbBqTP', 'indices': [91, 114]}]}",0,False,EHR Natural Language Processing Errors Bring Patient Safety Concerns - Health IT Analytics https://t.co/74EBIpilFy,,1017033023508733959,1017033023508733959,,,,,,False,en,,False,0,False,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>",False,"{'id': 1104832075, 'id_str': '1104832075', 'name': 'NatAltRemedy', 'screen_name': 'nataltremedy', 'location': '', 'description': 'At Natural Alternative Remedy we aim to provide as much information as possible with regards to helpful, alternative remedies.', 'url': 'http://t.co/K6sbcBm9Ne', 'entities': {'url': {'urls': [{'url': 'http://t.co/K6sbcBm9Ne', 'expanded_url': 'http://www.naturalalternativeremedy.com/', 'display_url': 'naturalalternativeremedy.com', 'indices': [0, 22]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 2097, 'friends_count': 1782, 'listed_count': 24, 'created_at': 'Sat Jan 19 22:35:19 +0000 2013', 'favourites_count': 0, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 22252, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/709194039833333760/l4CwRVkz_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/709194039833333760/l4CwRVkz_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1104832075/1457921208', 'profile_link_color': '94D487', 'profile_sidebar_border_color': 'FFFFFF', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",https://twitter.com/nataltremedy/status/1017033023508733959,[],[],nataltremedy,2097
,,2017-08-21 11:32:51,"[0, 101]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/fOQsDSXsQR', 'expanded_url': 'http://www.healthcareitnews.com/news/carilion-link-predictive-analytics-epic-ehr-better-patient-safety', 'display_url': 'healthcareitnews.com/news/carilion-…', 'indices': [78, 101]}]}",0,False,"Carilion to link predictive analytics with Epic EHR for better patient safety
https://t.co/fOQsDSXsQR",,899595147108691968,899595147108691968,,,,,,False,en,,False,0,False,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",False,"{'id': 2450149320, 'id_str': '2450149320', 'name': 'Calpion', 'screen_name': 'calpioninc', 'location': 'Dallas,TX', 'description': 'Calpion is a Dallas based global IT services company offering Application Development, Big Data Analytics, Machine Learning, Test Automation and Cloud services.', 'url': 'https://t.co/8PPVQ4sfrv', 'entities': {'url': {'urls': [{'url': 'https://t.co/8PPVQ4sfrv', 'expanded_url': 'http://www.calpion.com', 'display_url': 'calpion.com', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 653, 'friends_count': 4835, 'listed_count': 17, 'created_at': 'Thu Apr 17 17:41:16 +0000 2014', 'favourites_count': 23, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 157, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/867681955743227905/suJQAt7-_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/867681955743227905/suJQAt7-_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/2450149320/1484683098', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",https://twitter.com/calpioninc/status/899595147108691968,[],[],calpioninc,653
,,2017-02-23 18:35:25,"[0, 103]","{'hashtags': [{'text': 'HealthIT', 'indices': [10, 19]}, {'text': 'HealthCareSafety', 'indices': [70, 87]}, {'text': 'EHR', 'indices': [88, 92]}, {'text': 'Analytics', 'indices': [93, 103]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/YwqJt1NOWF', 'expanded_url': 'https://lnkd.in/er2FBQh', 'display_url': 'lnkd.in/er2FBQh', 'indices': [46, 69]}]}",0,False,Future of #HealthIT to support patient safety https://t.co/YwqJt1NOWF #HealthCareSafety #EHR #Analytics,,834834063395532802,834834063395532802,,,,,,False,en,,False,0,False,"<a href=""http://www.linkedin.com/"" rel=""nofollow"">LinkedIn</a>",False,"{'id': 480515891, 'id_str': '480515891', 'name': 'Michael Crosnick', 'screen_name': 'MichaelCrosnick', 'location': '', 'description': 'Healthcare Management professional with focus on Project/Process Management. Tweets do not reflect opinions of my employer. https://t.co/KejTy05UcX', 'url': 'https://t.co/Nm5amwqUfJ', 'entities': {'url': {'urls': [{'url': 'https://t.co/Nm5amwqUfJ', 'expanded_url': 'http://MikeOnHealthcare.com/', 'display_url': 'MikeOnHealthcare.com', 'indices': [0, 23]}]}, 'description': {'urls': [{'url': 'https://t.co/KejTy05UcX', 'expanded_url': 'http://linkedin.com/in/mcrosnick', 'display_url': 'linkedin.com/in/mcrosnick', 'indices': [124, 147]}]}}, 'protected': False, 'followers_count': 1672, 'friends_count': 1617, 'listed_count': 96, 'created_at': 'Wed Feb 01 15:51:57 +0000 2012', 'favourites_count': 100, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 5618, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '131516', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme14/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme14/bg.gif', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1850484797/78F1v5aL_normal', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1850484797/78F1v5aL_normal', 'profile_link_color': '009999', 'profile_sidebar_border_color': 'EEEEEE', 'profile_sidebar_fill_color': 'EFEFEF', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",https://twitter.com/MichaelCrosnick/status/834834063395532802,[],"['Analytics', 'EHR', 'HealthCareSafety', 'HealthIT']",MichaelCrosnick,1672
,,2016-09-14 13:02:01,"[0, 121]","{'hashtags': [{'text': 'EHR', 'indices': [57, 61]}, {'text': 'HealthIT', 'indices': [112, 121]}], 'symbols': [], 'user_mentions': [{'screen_name': 'CarilionClinic', 'name': 'Carilion Clinic', 'id': 16566310, 'id_str': '16566310', 'indices': [2, 17]}], 'urls': [{'url': 'https://t.co/bYM6NAE6ON', 'expanded_url': 'http://ow.ly/OwsL304b9rW', 'display_url': 'ow.ly/OwsL304b9rW', 'indices': [88, 111]}]}",0,False,. @CarilionClinic to link predictive analytics with Epic #EHR for better patient safety https://t.co/bYM6NAE6ON #HealthIT,,776043323442208768,776043323442208768,,,,,,False,en,,False,0,False,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",False,"{'id': 384888289, 'id_str': '384888289', 'name': 'DSI Group', 'screen_name': 'DSI_Group', 'location': 'Washington, DC | Hoboken, NJ', 'description': ""A premier non-partisan Institute designed to assist in advancing the mission critical goals of the United States' #Military and #Government\nRT ≠ endorsement"", 'url': 'http://t.co/36xtpHua2h', 'entities': {'url': {'urls': [{'url': 'http://t.co/36xtpHua2h', 'expanded_url': 'http://dsigroup.org', 'display_url': 'dsigroup.org', 'indices': [0, 22]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 240, 'friends_count': 267, 'listed_count': 52, 'created_at': 'Tue Oct 04 14:15:07 +0000 2011', 'favourites_count': 244, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 1342, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/429296654496190464/IxCCzgvG_normal.png', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/429296654496190464/IxCCzgvG_normal.png', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/384888289/1455295093', 'profile_link_color': 'ABB8C2', 'profile_sidebar_border_color': 'FFFFFF', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",https://twitter.com/DSI_Group/status/776043323442208768,['CarilionClinic'],"['HealthIT', 'EHR']",DSI_Group,240
,,2016-09-14 10:57:11,"[0, 132]","{'hashtags': [{'text': 'in', 'indices': [102, 105]}, {'text': 'healthcare', 'indices': [106, 117]}, {'text': 'digitalhealth', 'indices': [118, 132]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/KSdDyYBE7P', 'expanded_url': 'https://shar.es/1x1CII', 'display_url': 'shar.es/1x1CII', 'indices': [78, 101]}]}",2,False,Carilion to link predictive analytics with Epic EHR for better patient safety https://t.co/KSdDyYBE7P #in #healthcare #digitalhealth,,776011907530625024,776011907530625024,,,,,,False,en,,False,0,False,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",False,"{'id': 2461100780, 'id_str': '2461100780', 'name': 'Jonathan Cordwell', 'screen_name': 'J_Cordwell', 'location': 'Leeds, United Kingdom', 'description': 'Research Analyst - Industry Lead, Healthcare @ https://t.co/koOleUbsGE', 'url': 'https://t.co/XoVp3xF75l', 'entities': {'url': {'urls': [{'url': 'https://t.co/XoVp3xF75l', 'expanded_url': 'https://www.linkedin.com/pub/jonathan-cordwell/a/987/aa7', 'display_url': 'linkedin.com/pub/jonathan-c…', 'indices': [0, 23]}]}, 'description': {'urls': [{'url': 'https://t.co/koOleUbsGE', 'expanded_url': 'http://DXC.technology', 'display_url': 'DXC.technology', 'indices': [47, 70]}]}}, 'protected': False, 'followers_count': 468, 'friends_count': 527, 'listed_count': 180, 'created_at': 'Thu Apr 24 10:21:49 +0000 2014', 'favourites_count': 128, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 3077, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/762680597403865089/TeW25R02_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/762680597403865089/TeW25R02_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/2461100780/1491301108', 'profile_link_color': '000000', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none'}",https://twitter.com/J_Cordwell/status/776011907530625024,[],"['digitalhealth', 'healthcare', 'in']",J_Cordwell,468
